track_name,artists
In the fire of desire,Ivan Kozlovsky
"A Sentimental Man - From ""Wicked"" Original Broadway Cast Recording/2003",Joel Grey
Battle Belongs - Acoustic,Phil Wickham
Christmas Time Is Here,Devin Dawson
North,Sleeping At Last
Leo's Statement: It's hard to speak my heart...,Brent Carver
The Winner Takes It All - Acoustic,Jae Hall
Cherry Wine - Live,Hozier
Foolish to Think,Bryce Pinkham
When You Come Home,Mree
the author,Luz
Love is no respecter of age (Eugene Onegin),Ivan Petrov;Mikhail Shorin;Bolshoi Theatre Chorus and Orchestra
